food_name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,percentage_of_ingredients,units,SUM,Target,,,,,,,,,,,,,
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,spicy,main course,Punjab,North,"Mushroom:40%, malai:40% , garam masala:15%, ginger:3%,capsicum:2% ","Mushroom:1, malai:0, garam masala:1, ginger:1, capsicum:1",3,1,,,,,,,,,,,,,
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,spicy,main course,Punjab,North,"Canned coconut milk  :20%,Garam Masala:30%, frozen green peas:10%, wild mushrooms:30%,  tomatoes:-10%","Canned coconut milk:1, frozen green peas:1, wild mushrooms:1, garam masala:1, tomatoes:1",4,1,,,,,,,,,,,,,
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,60,30,-1,main course,Punjab,North,"Whole wheat flour:60%, honey:10% , butter:20% , garlic:10%","Whole wheat flour:1, honey:1, butter:0, garlic:1",3,1,,,,,,,,,,,,,
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,Uttar Pradesh,North,"Green:10%, beans:10%, potatoes :10%,khus:10%,Low Fat:40%,  garam masala powder:-20%","Green beans:1, potatoes:1, khus khus:1, low fat:1, garam masala powder:1",4,1,,,,,,,,,,,,,
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,Punjab,North,"Cottage cheese:20%, palak:50%, cream:5%, garam masala:10%, butter:15%","Cottage cheese:1, palak:1, cream:0, garam masala:1, butter:0",2,0,,,,,,,,,,,,,
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,Punjab,North,"Paneer:15% , whipping cream  :20%,Cashew Nuts:40%, garam masala:5% ,  butter:-20%","Paneer:1, whipping cream:0, garam masala:1, cashew nuts:1, butter:0",2,0,,,,,,,,,,,,,
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,spicy,main course,Punjab,North,"Paneer:15%, greek  :10%,Cream:40%, yogurt : 10%%,tandoori masala:10%,  bell pepper:-15%","Paneer:1, greek yogurt:1, tandoori masala:1, cream:0, bell pepper:1",4,1,,,,,,,,,,,,,
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,15,2,spicy,snack,-1,-1,"Kala chana:30%, mashed potato:30%, boondi:30%, sev:5%, lemon:5%","Kala chana:1, mashed potato:1, boondi:0, sev:0, lemon:1",3,1,,,,,,,,,,,,,
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,10,25,sweet,dessert,Uttar Pradesh,,"Whole wheat flour:50% ,musk melon:5%,Edible Gum:25%, poppy seeds:10%,  semolina:-10%","Whole wheat flour:1, musk melon seeds:1, poppy seeds:1, edible gum:1, semolina:1",5,1,,,,,,,,,,,,,
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,5,5,spicy,snack,-1,-1,"Urad dal:80%, sev:5%, lemon juice:10%, chopped tomatoes:5%","Urad dal:1, sev:0, lemon juice:1, chopped tomatoes:1",3,1,,,,,,,,,,,,,
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,15,45,spicy,main course,Punjab,North,"Wheat flour:50%,Potato:30%, Butter:10%, coriander:10%","Wheat flour:1, butter:0, potato:1, coriander:1",3,1,,,,,,,,,,,,,
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,30,spicy,main course,Rajasthan,West,"Arbi ke patte sesame:50%,Bengal Gram Flour:30%, sesame seeds:5%, gur:5%,  imli:-10%","Arbi ke patte:1, sesame seeds:1, gur[jaggery]:1, bengal gram flour:1, imli:1",5,1,,,,,,,,,,,,,
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,500,120,spicy,main course,Punjab,North,"Fennel:50%, tea bags:5%, tomato:25%, kasuri methi:10%, cinnamon:10%","Fennel seeds:1, tea bags:0, tomato:1, kasuri methi:1, cinnamon:1",4,1,,,,,,,,,,,,,
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,spicy,main course,-1,North,"Red kidney beans garam:50%,Tomato:10%, garam masala:15 %,ginger: 10%,  mustard oil:-15%","Red kidney beans:1, garam masala powder:1, ginger:1, tomato:1, mustard oil:1",4,1,,,,,,,,,,,,,
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,10,30,-1,main course,Punjab,North,"Garam masala powder  :10%,Cinnamon:5%, tamato: 20%,kasturi methi: 5%,  mustard oil:-10%,rongi:50%","Garam masala powder:1, tomato:1, kasuri methi:1, cinnamon:1, mustard oil:1",4,1,,,,,,,,,,,,,
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,spicy,snack,-1,-1,"Potatoes:20%, green peas:20%, garam masala:10%, ginger:10%, dough:40%","Potatoes:1, green peas:1, garam masala:1, ginger:1, dough:0",4,1,,,,,,,,,,,,,
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,10,20,spicy,main course,Bihar,North,"Sattu:50%,  atta:10%, dough:20%, filling:15%, filling:3%, mustard oil:2%","Sattu:1, atta:1, dough:0, filling:1, mustard oil:1",4,1,,,,,,,,,,,,,
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,20,40,spicy,main course,Punjab,North,"Cottage cheese:25%, malai:15%, garam masala:20%, ginger:10%, tomato:30%","Cottage cheese:1, malai:0, garam masala:1, ginger:1, tomato:1",3,1,,,,,,,,,,,,,
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,10,30,sweet,dessert,Telangana,South,"Rose water  :20%,Saffron:10%, white Bread sliced:35%,  almonds:-10%,milk: 25%%","Rose water:1, milk:1, white bread slices:0, saffron:1, almonds:1",4,1,,,,,,,,,,,,,
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,10,30,spicy,main course,Punjab,North,"Baby corn  :50%,Ginger:10%, french bean:20 %,garam masala:10%,  carrot:-10%","Baby corn:1, french beans:1, garam masala:1, ginger:1, carrot:1",4,1,,,,,,,,,,,,,
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,240,30,spicy,main course,Punjab,North,"Greek yogurt :10%,garam masala:10%,Marinade:5%, kasturi methi: 5%,  mustard oil:-20%,chicken:50%","Greek yogurt:1, garam masala:1, kasuri methi:1, marinade:1, mustard oil:1",4,1,,,,,,,,,,,,,
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,240,30,spicy,starter,Punjab,North,"Chickpea flour biryani masala powder:20%,Fish Fillets:40%, yogurt:20%,  green bell pepper:-20%","Chickpea flour:1, biryani masala powder:1, yogurt:1, fish fillets:0, green bell pepper:1",3,1,,,,,,,,,,,,,
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,150,25,spicy,snack,Andhra Pradesh,South,"Whole wheat flour:40%, arhar dal:20%,Kala Jeera:20%, ginger:5%,  green chilli:5%","Whole wheat flour:1, arhar dal:1, ginger:1, kala jeera:1, green chilli:1",5,1,,,,,,,,,,,,,
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,spicy,main course,Kerala,South,"Raw banana:25%,elephant foot:25%,Tindora:25%, long beans:15 %,  urad dal:-10%","Raw banana:1, elephant foot yam:1, long beans:1, tindora:1, urad dal:1",5,1,,,,,,,,,,,,,
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,spicy,main course,Karnataka,South,"rice:40%,chana dal:30%,Green Peas:10%, urad dal:10%, french beans:10%","Split pigeon peas:1, chana dal:1, urad dal:1, green peas:1, french beans:1",5,1,,,,,,,,,,,,,
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Chana dal:20% ,urad dal:20%,Sesame Seeds:20%,fresh coconut:20%,  curry leaves:20%","Chana dal:1, urad dal:1, fresh coconut:1, sesame seeds:1, curry leaves:1",5,1,,,,,,,,,,,,,
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,360,90,spicy,snack,-1,South,"Chana dal:20%,urad dal:20%,Blend Rice:50%, rock salt:10%","Chana dal:1, urad dal:1, whole urad dal:1, blend rice:1, rock salt:1",5,1,,,,,,,,,,,,,
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,120,30,spicy,snack,Tamil Nadu,South,"Rice flour:60%, hot water:20%, grated coconut:20%","Rice flour:1, hot water:1, grated coconut:1",3,1,,,,,,,,,,,,,
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,-1,South,"Split urad dal:10%,urad dal:20%,Thick Poha:20% %,idli rice:40%,  rock salt:-10%","Split urad dal:1, urad dal:1, idli rice:1, thick poha:1, rock salt:1",5,1,,,,,,,,,,,,,
Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,-1,snack,Kerala,South,"Carrot:50%, yellow mustard:20%, red chilli:5%, black salt:5%,water:20%","Carrot:1, yellow mustard:1, red chilli:1, black salt:1",4,1,,,,,,,,,,,,,
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"Moong dal chana :45%,Urad Dal:30%, spinach:5%,  coconut oil:-20%","Moong dal:1, chana dal:1, spinach:1, urad dal:1, coconut oil:1",5,1,,,,,,,,,,,,,
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Greens:35%, potato:30% , tomoto:25%, fenugreek seeds:5%, mustard seeds:5%","Greens:1, tomato:1, mustard seeds:1, fenugreek seeds:1",4,1,,,,,,,,,,,,,
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"Amaranth leaves split:45%,urad dal  :20%,Grated Coconut:10%,mustard seeds:20%,red chili:10%","Amaranth leaves:1, split urad dal:1, mustard seeds:1, grated coconut:1, red chili:1",5,1,,,,,,,,,,,,,
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,10,60,spicy,main course,Kerala,South,"Beef:40%,coconut:10%,garam masala:10%,Green Chilies:20%, curry leaves:10% ,  chili powder:-10%","Beef:0, coconut:1, garam masala:1, curry leaves:1, green chilies:1, chili powder:1",4,1,,,,,,,,,,,,,
Kootu,"Chana dal, urad dal, potato, beans, peas",vegetarian,10,15,spicy,main course,Tamil Nadu,South,"Chana dal:30%, urad dal:10%, potato:20%, beans:20%, peas:20%","Chana dal:1, urad dal:1, potato:1, beans:1, peas:1",5,1,,,,,,,,,,,,,
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Moong dal:40%,Tamarind:5%, chana dal:20%,cabbage:20%,  curry leaves:-15%","Moong dal:1, chana dal:1, cabbage:1, tamarind:1, curry leaves:1",5,1,,,,,,,,,,,,,
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,10,20,spicy,main course,Karnataka,South,"Moong dal:40%, cucumber:10%,Green Chili:20%, curry leaves:20%,  lemon juice:-10%","Moong dal:1, cucumber:1, curry leaves:1, green chili:1, lemon juice:1",5,1,,,,,,,,,,,,,
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Chana dal:20%, urad dal:20%,Raw Rice:40%, gooseberry:10%,  curry leaves:-10%","Chana dal:1, urad dal:1, gooseberry:1, raw rice:1, curry leaves:1",5,1,,,,,,,,,,,,,
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",vegetarian,10,90,spicy,main course,Tamil Nadu,South,"Sesame oil:20%, raw rice:40%, jaggery:20%, grated coconut:20%","Sesame oil:1, raw rice:1, jaggery:1, grated coconut:1",4,1,,,,,,,,,,,,,
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,5,30,spicy,main course,Tamil Nadu,South,"Pearl onions  :30%,Tomato:20%, urad dal:15%, drumstick:30%,curry leaves:5%","Pearl onions:1, urad dal:1, drumsticks:1, tomato:1, curry leaves:1",5,1,,,,,,,,,,,,,
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,360,90,spicy,snack,-1,South,"Chana dal:10%, urad:5%,Idli Rice:70%, Potato:10%,  thick poha:-5%%","Chana dal:1, urad dal:1, potatoes:1, idli rice:1, thick poha:1",5,1,,,,,,,,,,,,,
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,-1,main course,-1,South,"Coconut oil  :10%,Curry Leaves:20%, cucumber:40%,curd:20%,  mustard seeds:-10%","Coconut oil:1, cucumber:1, curd:1, curry leaves:1, mustard seeds:1",5,1,,,,,,,,,,,,,
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,-1,main course,Tamil Nadu,South,"Yogurt :20%,ginger  :10%,Baking Soda:20%, curry leaves:10%,  green chilli:-10%,oil:20%","Yogurt:1, ginger:1, curry leaves:1, baking soda:0, green chilli:1",4,1,,,,,,,,,,,,,
Papadum,"Lentils, black pepper, vegetable oil",vegetarian,5,5,spicy,snack,Kerala,South,"Lentils:50%,Black Pepper:30%, vegetable oil:20%","Lentils:1, black pepper:1, vegetable oil:0",3,1,,,,,,,,,,,,,
Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,15,30,bitter,snack,Gujarat,West,"Bottle gourd:15%, whole wheat flour  :15%,Sesame Seeds:30%, rava: 25%,  bengal gram flour:-15%","Bottle gourd:1,Whole wheat flour :1,Rava :1,Sesame seeds :1,Bengal gram flour:1",5,1,,,,,,,,,,,,,
Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,40,spicy,snack,Gujarat,West,"Arbi ke patte- 40%,Bengal gram flour- 30%,Sesame seeds - 10%,Gur- 10%,Imli- 10%","Arbi ke patte:1,Sesame seeds:1,Gur:1,Bengal gram flour :1,Imli:1",5,1,,,,,,,,,,,,,
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,20,40,spicy,main course,Maharashtra,West,"Pav Bhaji masala: 10%Gobi: 20%,Potatoes: 30%,Green peas: 20%,Dinner rolls: 20%","Pav bhaji masala :1,Gobi:1,Potatoes:1,Green peas :1,Dinner rolls:0",4,1,,,,,,,,,,,,,
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",vegetarian,10,30,spicy,main course,Maharashtra,West,"Aloo: 40%,Urad dal: 30%,Mustard: 15%,Ginger: 10%.Curry leaves: 5%","Aloo:1,Urad dal :1,Mustard :1,Ginger :1;Curry leaves :1",5,1,,,,,,,,,,,,,
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,70,30,spicy,snack,Maharashtra,West,"Raw peanuts: 30%,Sabudana: 40%,Lemon: 10%,Avocado oil: 10%,Curry leaves: 5%,Green chili: 5%","Raw peanuts :1,Sabudana :0,Lemon :1,Avocado oil:1,Curry leaves:1,Green chili:1",5,1,,,,,,,,,,,,,
Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,20,30,spicy,main course,Gujarat,West,"Khaman: 40%,Pomegranate: 20%,Sev: 20%,Powdered sugar: 15%,Garlic: 5%","Khaman:1,Pomegranate:1,Sev :0,Powdered sugar:0,Garlic:1",3,1,,,,,,,,,,,,,
Sev tameta,"Sev, ginger, tomato, sugar",vegetarian,20,30,spicy,main course,Gujarat,West,"Sev: 40%,Ginger: 10%,Tomato: 40%,Sugar: 10%","Sev:0,Ginger:1,Tomato:1,Sugar :0",2,0,,,,,,,,,,,,,
Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",vegetarian,10,35,spicy,snack,Gujarat,West,"Wheat flour: 40%,Baking soda: 10%,All-purpose flour: 30%,Black pepper: 10%,Sunflower oil: 10%","Wheat flour:1,Baking soda:0,All purpose flour:0,Black pepper:1,Sunflower oil:1",3,1,,,,,,,,,,,,,
Sukhdi,"Whole wheat flour, gur, clarified butter",vegetarian,10,20,sweet,dessert,Maharashtra,West,"Whole wheat flour: 50%,Gur: 40%,Clarified butter: 10%","Whole wheat flour:1,Gur :1,Clarified butter:0",2,0,,,,,,,,,,,,,
Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",vegetarian,60,10,spicy,snack,Maharashtra,West,"Rice flakes: 30%,Yogurt: 30%,Raw rice: 20%,Jaggery: 15%,Grated coconut: 5%","Rice flakes:1,Yogurt:1,Raw rice:1,Jaggery :1,Grated coconut :1",5,1,,,,,,,,,,,,,
Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",vegetarian,25,30,spicy,main course,Maharashtra,West,"Whole wheat flour: 30%,Rice flour: 30%,Pearl millet flour: 20%,Sorghum flour: 15%,Sesame seeds: 5%","Whole wheat flour:1,Rice flour:1,Pearl millet flour:1,Sorghum flour:1,Sesame seeds:1",5,1,,,,,,,,,,,,,
Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",vegetarian,25,60,spicy,main course,Gujarat,West,"Sweet potato: 30%,Surti papdi: 20%,Baby potatoes: 20%,Valor papdi: 20%,Green peas: 10%","Sweet potato:1,Surti papdi:1,Baby potatoes:1,Valor papdi:1,Green peas:1",5,1,,,,,,,,,,,,,
Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",vegetarian,20,30,spicy,main course,Maharashtra,West,"Gobi: 20%,Potato: 20%,Beans: 20%,Khus khus: 20%,Coconut: 20%","Gobi:1,Potato:1,Beans:1,Khus khus:1,Coconut:1",5,1,,,,,,,,,,,,,
Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",non vegetarian,10,40,spicy,main course,Goa,West,"Chicken: 40%,Coconut oil: 20%,Wine vinegar: 15%,Ginger: 10%,Green chili: 10%,Cinnamon: 5%","Chicken:1,Coconut oil:1,Wine vinegar:1,Ginger:1,Green chili:1,Cinnamon:1",6,1,,,,,,,,,,,,,
Lilva Kachori,"Green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",vegetarian,30,6,spicy,snack,Gujarat,West,"Green garlic chutney: 25%,Fresh green peas: 25%,Ginger: 20%,Lemon juice: 15%,Plain flour: 15%","Green garlic chutney:1,Fresh green peas:1,Ginger:1,Lemon juice:1,Plain flour:0",4,1,,,,,,,,,,,,,
Khichu,"Rice flour, sesame seeds, baking soda, peanut oil",vegetarian,5,10,spicy,snack,Gujarat,West,"Rice flour: 70%,Sesame seeds: 20%,Baking soda: 5%,Peanut oil: 5%","Rice flour:1,Sesame seeds:1,Baking soda:0,Peanut oil:1",3,1,,,,,,,,,,,,,
Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour",vegetarian,15,30,spicy,snack,Gujarat,West,"Chickpea flour: 40%,Methi leaves: 30%,Jowar flour: 15%,Wheat flour: 15%","Chickpea flour:1,Methi leaves:1,Jowar flour:1,Wheat flour:1",4,1,,,,,,,,,,,,,
Khaman,"Yogurt, fresh coconut, sesame seeds, semolina, gram flour",vegetarian,10,20,spicy,snack,Gujarat,West,"Yogurt: 30%,Fresh coconut: 20%,Sesame seeds: 20%,Semolina: 20%,Gram flour: 10%","Yogurt:1,Fresh coconut:1,Sesame seeds:1,Semolina:1,Gram flour :1",5,1,,,,,,,,,,,,,
Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas",vegetarian,35,40,spicy,main course,Gujarat,West,"Ridge gourd: 40%,Baking soda: 5%,Sugar: 10%,Grated coconut: 25%,Peas: 20%","Ridge gourd:1,Baking soda :0,Sugar:0,Grated coconut:1, Peas:1",3,1,,,,,,,,,,,,,
Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,12,40,sweet,dessert,Rajasthan,West,"Whole wheat flour: 40%,Khus khus: 20%,Sesame seeds: 15%,Dry coconut: 15%,Gur: 10%","Whole wheat flour:1,Khus khus:1,Sesame seeds:1,Dry coconut:1,Gur:1",5,1,,,,,,,,,,,,,
Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",vegetarian,10,30,sweet,dessert,Assam,North East,"Sticky rice: 30%,Rice flour: 30%,Jaggery: 30%,Orange rind: 10%","Sticky rice :1,Rice flour :1,Jaggery:1,Orange rind:1",4,1,,,,,,,,,,,,,
Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,10,20,-1,main course,Assam,North East,"Raw papaya: 40%,Panch phoran masala: 20%,Nigella seeds: 15%,Mustard oil: 15%,Fennel seeds: 10%","Raw papaya:1,Panch phoran masala:1,Nigella seeds:1,Mustard oil:1,Fennel seeds:1",5,1,,,,,,,,,,,,,
Luchi,"Maida, vegetable oil",vegetarian,20,30,-1,main course,West Bengal,East,"Maida- 90%,Vegetable oil- 10%","Maida:0,Vegetable oil:0",0,0,,,,,,,,,,,,,
Alu Pitika,"Potatoes, mustard oil, fish, green chillies",non vegetarian,5,20,spicy,main course,Assam,North East,"Maida (refined flour): 90%,Vegetable oil: 10%","Potatoes:1,Mustard oil:1,Fish:1,Green chillies:1",4,1,,,,,,,,,,,,,
Masor tenga,"Ridge gourd, fish, lemon, tomatoes, mustard oil",non vegetarian,15,25,spicy,main course,Assam,North East,"Ridge gourd: 30%,Fish: 30%,Lemon: 20%,Tomatoes: 15%,Mustard oil: 5%","Ridge gourd:1,Fish:1,Lemon:1,Tomatoes:1,Mustard oil:1",5,1,,,,,,,,,,,,,
Bilahi Maas,"Potatoes, garam masala, tomatoes, mustard oil, bay leaf",non vegetarian,10,20,-1,main course,Assam,North East,"Potatoes: 40%,Garam masala: 10%,Tomatoes: 30%,Mustard oil: 15%,Bay leaf: 5%","Potatoes:1,Garam masala:1,Tomatoes:1,Mustard oil:1,Bay leaf :1",5,1,,,,,,,,,,,,,
Til Pitha,"Glutinous rice, black sesame seeds, gur",vegetarian,5,30,sweet,dessert,Assam,North East,"Glutinous rice: 60%,Black sesame seeds: 30%,Gur: 10%","Glutinous rice :1,Black sesame seeds:1,Gur:1",3,1,,,,,,,,,,,,,
Brown Rice,"Brown rice, soy sauce, olive oil",vegetarian,15,25,-1,main course,-1,-1,"Brown rice: 90%,Soy sauce: 5%,Olive oil: 5%","Brown rice:1,Soy sauce:0,Olive oil:1",2,0,,,,,,,,,,,,,
Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",non vegetarian,10,40,spicy,main course,West Bengal,East,"Coconut milk: 40%,Lobster: 30%,Fresh green chili: 15%,Ginger: 10%,Red onion: 5%","Coconut milk:1,Lobster:1,Fresh green chili:1,Ginger:0,Red onion:1",4,1,,,,,,,,,,,,,
Goja,"Baking soda, clarified butter, oil, all purpose flour",vegetarian,20,60,sweet,dessert,West Bengal,East,"Baking soda: 5%,Clarified butter: 25%,Oil: 10%,All-purpose flour: 60%","Baking soda:0,Clarified butter:0,Oil:0, All purpose flour:0",0,0,,,,,,,,,,,,,
Haq Maas,"Lamb, garam masala powder, curd, turmeric, bay leaf",non vegetarian,20,40,spicy,main course,Assam,North East,"Lamb: 40%,Garam masala powder: 20%,Curd: 20%,Turmeric: 10%,Bay leaf: 10%","Lamb:1,Garam masala powder:1,Curd:1,Turmeric:1,Bay leaf :1",5,1,,,,,,,,,,,,,
Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",non vegetarian,15,30,-1,main course,West Bengal,East,"Coconut: 30%,Prawns: 30%,Curd: 20%,Mustard seeds: 15%,Green chili: 5%","Coconut:1Prawns:1,Curd:1,Mustard seed:1,Green chili:1",5,1,,,,,,,,,,,,,
Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,20,60,sweet,dessert,Goa,West,"Coconut milk: 40%,Egg yolks: 30%,Clarified butter: 20%,All-purpose flour: 10%","Coconut milk:1,Egg yolks :1,Clarified butter:0,All purpose flour :0",2,0,,,,,,,,,,,,,
Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",vegetarian,10,30,sweet,main course,West Bengal,East,"Chana dal: 40%,Fresh coconut: 30%,Ginger: 15%,Cinnamon: 10%,Raisins: 5%","Chana dal :1,Fresh coconut :1,Ginger :1,Cinnamon:1,Raisins :1",5,1,,,,,,,,,,,,,
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,10,20,-1,main course,Assam,North East,"Tea leaves: 40%,White sesame seeds: 30%,Dry coconut: 20%,Soaked rice: 10%","Tea leaves :1,White sesame seeds :1,Dry coconut :1,Soaked rice:1",4,1,,,,,,,,,,,,,
,,,,,,,,,,,681,,,,,,,,,,,,,,
